student_id,Hours_Studied_6m,Attendance_6m,Parental_Involvement_6m,Access_to_Resources_6m,Extracurricular_Activities_6m,Sleep_Hours_6m,Previous_Scores_6m,Motivation_Level_6m,Internet_Access_6m,Tutoring_Sessions_6m,Family_Income_6m,Teacher_Quality_6m,School_Type_6m,Peer_Influence_6m,Physical_Activity_6m,Learning_Disabilities_6m,Parental_Education_Level_6m,Distance_from_Home_6m,Gender_6m,Exam_Score_6m,dropout_6m,intervention_type,intervention_hours,intervention_attendance,actual_dropout_6m
64,16,76,Low,High,1,8,56,Medium,0,1,Low,Medium,Public,Positive,1,0,High School,Near,Male,62,1,,0,0.0,
65,15,76,Medium,Medium,1,6,84,Low,1,0,Medium,High,Public,Neutral,3,0,College,Near,Female,65,1,,0,0.0,
66,18,69,High,High,0,7,62,Low,1,3,Medium,Medium,Public,Positive,3,0,High School,Moderate,Male,65,1,,0,0.0,
67,17,71,High,Medium,1,9,83,Low,1,2,Medium,Medium,Public,Neutral,5,0,High School,Near,Male,66,1,,0,0.0,
68,15,67,Medium,Medium,0,4,74,Medium,1,0,Low,Medium,Public,Negative,3,0,College,Moderate,Male,61,1,,0,0.0,
69,11,76,Medium,Medium,1,7,71,Medium,0,1,Medium,Low,Public,Neutral,2,0,College,Near,Male,62,1,,0,0.0,
70,12,63,Medium,High,1,5,69,Low,1,0,Medium,High,Public,Negative,2,0,College,Moderate,Female,60,1,,0,0.0,
71,16,64,Low,Medium,1,9,58,Low,1,1,Medium,Medium,Public,Positive,3,0,College,Moderate,Female,61,1,,0,0.0,
72,19,62,Medium,Medium,0,5,90,Low,1,2,Low,High,Public,Positive,3,0,College,Moderate,Male,64,1,,0,0.0,
73,19,70,Medium,Medium,0,7,63,Low,0,3,Low,Low,Public,Neutral,5,0,High School,Near,Male,63,1,,0,0.0,
74,22,67,Low,Medium,0,7,86,Low,1,1,Low,Medium,Public,Positive,3,0,High School,Moderate,Female,63,1,,0,0.0,
75,21,68,Medium,Low,0,8,100,Low,1,0,Medium,Medium,Public,Positive,4,0,High School,Far,Male,63,1,,0,0.0,
76,15,67,High,Medium,1,8,89,Low,1,0,High,High,Public,Neutral,4,0,High School,Moderate,Female,64,1,,0,0.0,
77,15,70,High,Medium,0,9,57,Medium,1,1,Medium,Medium,Private,Negative,3,0,High School,Near,Female,63,1,,0,0.0,
78,16,71,Medium,Medium,0,8,51,Medium,1,0,Low,Medium,Public,Negative,2,0,Postgraduate,Far,Female,61,1,,0,0.0,
79,7,82,High,High,1,8,56,Medium,1,0,Low,Medium,Private,Negative,2,0,High School,Far,Male,62,1,,0,0.0,
80,15,66,Low,High,0,6,80,Medium,0,1,Low,Medium,Private,Neutral,1,0,College,Near,Male,61,1,,0,0.0,
81,17,79,Medium,Low,1,6,75,Low,1,1,Medium,High,Public,Neutral,4,0,High School,Near,Male,65,1,,0,0.0,
82,16,62,Medium,Medium,1,7,79,Low,1,2,Medium,Medium,Public,Neutral,3,0,High School,Near,Male,63,1,,0,0.0,
83,14,65,High,Medium,0,5,59,Low,1,1,High,Medium,Public,Positive,4,0,Postgraduate,Far,Male,63,1,,0,0.0,
84,21,65,High,High,0,7,88,Low,1,2,Low,Medium,Private,Neutral,1,0,High School,Near,Male,65,1,,0,0.0,
85,27,62,Medium,High,1,5,63,Low,1,4,High,Medium,Public,Negative,4,0,High School,Near,Female,67,1,,0,0.0,
86,20,65,Medium,Low,0,6,74,Low,1,0,Medium,Medium,Private,Positive,3,0,College,Moderate,Male,62,1,,0,0.0,
87,9,74,Medium,High,0,7,66,Low,1,1,High,High,Private,Neutral,3,0,High School,Far,Female,62,1,,0,0.0,
88,13,63,High,Medium,1,5,65,Medium,1,2,High,Medium,Private,Neutral,2,0,High School,Far,Male,62,1,,0,0.0,
89,12,73,High,Medium,0,5,60,Medium,1,1,Low,Medium,Public,Negative,4,0,High School,Moderate,Male,62,1,,0,0.0,
90,10,76,Low,Medium,1,8,76,Medium,1,2,High,High,Private,Positive,3,1,Postgraduate,Moderate,Male,64,1,,0,0.0,
91,22,74,Medium,Low,1,6,56,Low,1,4,Medium,High,Public,Negative,3,0,Postgraduate,Moderate,Male,66,1,,0,0.0,
92,8,89,Medium,High,1,7,81,Low,1,4,Low,Medium,Public,Neutral,3,0,College,Near,Male,67,1,,0,0.0,
93,14,62,High,High,1,8,65,Low,1,3,Low,Medium,Public,Negative,2,0,High School,Far,Male,61,1,,0,0.0,
94,14,70,High,Medium,1,9,54,Medium,0,3,Medium,Medium,Public,Positive,1,0,College,Near,Male,64,1,,0,0.0,
95,13,62,Low,High,0,7,99,Medium,1,4,Medium,Low,Public,Positive,1,0,Postgraduate,Moderate,Female,63,1,,0,0.0,
96,14,65,Low,Medium,1,7,81,Medium,1,1,Low,Medium,Public,Positive,3,0,High School,Moderate,Female,61,1,,0,0.0,
97,21,60,Medium,High,1,8,93,Low,1,0,Low,Medium,Public,Positive,2,0,High School,Far,Female,63,1,,0,0.0,
98,11,65,Medium,High,0,7,78,Medium,1,2,Low,Medium,Public,Neutral,3,0,Postgraduate,Near,Female,63,1,,0,0.0,
99,15,73,Medium,Low,1,7,51,Medium,1,2,Low,High,Private,Negative,3,0,High School,Moderate,Male,61,1,,0,0.0,
100,15,72,High,High,0,8,50,Medium,1,2,Medium,Medium,Public,Neutral,4,0,High School,Near,Female,65,1,,0,0.0,
101,16,60,Low,Medium,1,8,66,Low,1,1,High,High,Private,Neutral,2,1,High School,Moderate,Female,59,1,,0,0.0,
102,17,66,High,High,0,5,64,Low,1,0,Medium,High,Private,Neutral,2,0,College,Near,Male,64,1,,0,0.0,
103,16,73,High,Medium,1,8,52,Medium,1,2,Medium,High,Public,Positive,4,0,College,Near,Female,66,1,,0,0.0,
104,20,63,Low,Low,1,8,73,Low,1,0,High,Medium,Public,Neutral,3,0,College,Near,Female,61,1,,0,0.0,
105,22,75,Medium,Medium,0,6,56,Low,1,3,Medium,Medium,Private,Positive,3,0,High School,Far,Male,65,1,,0,0.0,
106,10,89,Low,Low,1,8,69,Low,1,3,Low,Medium,Public,Negative,4,0,College,Moderate,Male,63,1,,0,0.0,
107,15,63,Medium,Low,0,8,55,Low,1,0,Medium,Low,Public,Neutral,3,0,College,Near,Female,59,1,,0,0.0,
108,10,62,Medium,Low,0,7,68,High,1,3,Medium,Medium,Public,Neutral,3,0,Postgraduate,Near,Male,61,1,,0,0.0,
109,15,84,Medium,High,0,6,55,Low,1,1,Medium,Medium,Private,Negative,2,0,High School,Near,Male,64,1,,0,0.0,
110,18,67,Low,Low,1,9,68,Low,1,2,Low,High,Private,Negative,2,0,Postgraduate,Near,Male,61,1,,0,0.0,
111,26,65,Low,Medium,0,7,53,Low,1,3,High,Medium,Public,Positive,2,0,High School,Near,Female,64,1,,0,0.0,
112,16,73,High,Low,1,8,58,Medium,1,1,Medium,Medium,Public,Neutral,4,0,High School,Near,Female,64,1,,0,0.0,
113,19,76,High,High,1,8,66,Low,1,0,Low,High,Private,Negative,4,1,High School,Near,Male,65,1,,0,0.0,
114,17,83,High,Medium,0,7,70,Low,1,3,Low,Medium,Private,Neutral,5,0,Postgraduate,Near,Female,68,1,,0,0.0,
115,19,60,Medium,High,0,10,51,Medium,1,0,Medium,Medium,Public,Positive,3,1,College,Near,Female,62,1,,0,0.0,
116,27,63,Medium,High,0,6,51,Low,1,0,Low,Medium,Public,Positive,2,0,Postgraduate,Moderate,Male,64,1,,0,0.0,
117,22,65,Medium,Medium,1,7,95,Low,1,3,Low,Medium,Public,Positive,2,0,High School,Moderate,Female,65,1,,0,0.0,
118,15,73,Medium,High,0,7,96,Low,1,1,Low,Medium,Public,Negative,2,0,College,Near,Male,64,1,,0,0.0,
119,17,86,High,Medium,1,7,59,Low,1,3,Low,Medium,Public,Positive,3,0,Postgraduate,Moderate,Male,68,1,,0,0.0,
120,25,70,Low,Medium,1,8,61,Low,0,3,Low,Medium,Public,Positive,4,0,College,Moderate,Female,64,1,,0,0.0,
121,22,72,High,Medium,1,9,64,Low,1,1,Medium,Medium,Public,Negative,2,0,College,Near,Female,66,1,,0,0.0,
122,9,64,Medium,Medium,0,5,73,Medium,1,1,Medium,Medium,Public,Positive,4,0,College,Near,Male,61,1,,0,0.0,
123,20,81,Medium,Low,1,6,53,Low,1,0,Medium,Low,Public,Neutral,4,0,High School,Far,Female,63,1,,0,0.0,
124,13,77,Medium,Medium,1,10,62,Medium,1,1,High,Medium,Private,Neutral,4,0,College,Moderate,Male,65,1,,0,0.0,
125,21,74,Medium,Low,1,7,52,Low,1,1,High,Medium,Public,Negative,4,0,High School,Far,Male,62,1,,0,0.0,
126,21,72,High,Medium,0,7,60,Low,1,0,Low,Medium,Private,Neutral,4,0,Postgraduate,Near,Male,65,1,,0,0.0,
127,15,71,Medium,High,0,8,50,Low,1,1,Medium,Medium,Public,Neutral,2,1,Postgraduate,Near,Female,62,1,,0,0.0,
128,14,64,High,High,1,6,90,Low,1,0,Low,High,Private,Negative,2,0,High School,Near,Female,63,1,,0,0.0,
129,19,79,High,Medium,1,10,59,Low,1,1,Medium,Medium,Public,Neutral,3,1,College,Moderate,Male,65,1,,0,0.0,
130,17,72,Medium,High,1,7,74,Low,1,2,High,Medium,Public,Positive,4,0,Postgraduate,Far,Male,67,1,,0,0.0,
131,14,81,Medium,Medium,1,7,73,Low,0,1,High,Medium,Private,Positive,3,1,High School,Moderate,Male,63,1,,0,0.0,
132,12,77,Medium,Medium,1,8,57,Medium,1,2,Low,High,Public,Negative,2,0,College,Moderate,Male,63,1,,0,0.0,
133,18,75,Medium,Medium,1,6,88,Low,1,2,Medium,High,Public,Negative,1,1,Postgraduate,Near,Female,66,1,,0,0.0,
134,11,93,Medium,Medium,1,6,72,Low,1,2,Low,Medium,Public,Negative,3,0,College,Moderate,Male,66,1,,0,0.0,
135,4,64,Medium,High,1,7,65,Medium,1,1,Medium,High,Public,Negative,4,0,High School,Far,Male,59,1,,0,0.0,
136,24,68,Medium,Medium,1,10,73,Low,1,1,Medium,Medium,Public,Neutral,4,1,High School,Moderate,Female,64,1,,0,0.0,
137,13,70,Medium,Medium,0,8,56,Medium,1,2,Medium,High,Public,Neutral,0,0,High School,Near,Male,62,1,,0,0.0,
138,20,61,Medium,Low,1,7,70,Low,1,1,Medium,Medium,Private,Positive,4,0,High School,Moderate,Female,62,1,,0,0.0,
139,19,81,High,High,0,8,61,Low,1,3,Medium,Medium,Private,Negative,5,0,Postgraduate,Near,Male,69,1,,0,0.0,
140,4,69,Medium,Low,0,9,93,Low,0,2,Medium,High,Private,Negative,3,0,High School,Moderate,Female,58,1,,0,0.0,
141,15,79,High,Medium,0,8,62,Low,1,1,Low,Low,Public,Positive,3,0,College,Near,Male,65,1,,0,0.0,
142,13,70,Medium,Medium,0,5,59,Medium,1,0,Medium,High,Private,Positive,2,0,Postgraduate,Near,Female,63,1,,0,0.0,
143,17,77,Medium,Medium,1,6,54,Low,1,3,Low,Medium,Public,Neutral,4,0,High School,Moderate,Male,64,1,,0,0.0,
144,14,73,Medium,Low,1,5,96,Low,1,1,Low,Medium,Public,Negative,3,0,High School,Moderate,Female,62,1,,0,0.0,
145,17,77,Low,Medium,0,9,67,Low,1,0,Low,High,Public,Neutral,5,1,High School,Near,Female,62,1,,0,0.0,
146,12,72,Medium,Medium,0,8,67,Low,1,4,Medium,Medium,Public,Neutral,4,0,High School,Near,Male,63,1,,0,0.0,
147,18,69,Low,Medium,0,8,59,Low,0,1,Low,Medium,Public,Positive,4,0,High School,Near,Female,60,1,,0,0.0,
148,10,81,Medium,Low,1,7,85,Low,1,1,Low,Medium,Public,Neutral,2,0,College,Near,Male,63,1,,0,0.0,
149,9,70,Medium,Medium,0,9,78,Low,1,1,Medium,Low,Public,Neutral,2,0,High School,Near,Female,60,1,,0,0.0,
150,12,90,Medium,High,0,6,61,Low,1,2,Medium,High,Public,Neutral,3,0,College,Near,Male,67,1,,0,0.0,
151,16,82,High,High,1,6,75,Low,1,3,Medium,Medium,Public,Neutral,3,0,College,Moderate,Female,68,1,,0,0.0,
152,14,76,High,Medium,1,8,59,Low,1,3,Medium,Medium,Private,Neutral,5,0,High School,Moderate,Male,65,1,,0,0.0,
153,12,68,High,High,1,7,75,Medium,1,1,Medium,Low,Private,Positive,4,0,High School,Near,Male,64,1,,0,0.0,
154,14,89,Medium,Low,1,5,67,Low,0,3,Low,Low,Private,Neutral,3,0,High School,Far,Female,63,1,,0,0.0,
155,16,65,Low,High,0,9,96,Low,1,2,Low,Medium,Public,Negative,2,0,High School,Near,Male,62,1,,0,0.0,
156,21,71,High,Medium,1,8,57,Low,0,2,High,Medium,Public,Positive,1,0,Postgraduate,Near,Female,66,1,,0,0.0,
157,22,61,Low,Low,1,6,82,Low,1,4,Medium,Medium,Public,Positive,4,0,High School,Moderate,Female,64,1,,0,0.0,
158,24,63,High,Medium,0,8,59,Low,1,1,Low,Medium,Public,Neutral,3,1,High School,Near,Male,62,1,,0,0.0,
159,10,60,Medium,Medium,0,9,85,Medium,1,0,Medium,High,Public,Positive,4,0,Postgraduate,Near,Male,62,1,,0,0.0,
160,22,65,Low,Medium,0,7,97,Low,1,2,Medium,High,Private,Neutral,4,0,High School,Moderate,Female,64,1,,0,0.0,
161,17,61,Low,Low,1,6,58,Medium,1,1,Medium,High,Public,Neutral,4,0,High School,Near,Male,60,1,,0,0.0,
162,18,64,Medium,Low,1,10,68,Low,1,1,Low,Medium,Public,Positive,5,0,High School,Near,Male,62,1,,0,0.0,
163,21,79,High,Medium,0,4,64,Low,1,0,Low,High,Public,Negative,4,0,College,Moderate,Male,66,1,,0,0.0,
164,11,63,High,Medium,1,9,56,High,1,2,Medium,Medium,Public,Neutral,3,0,High School,Near,Female,62,1,,0,0.0,
165,12,64,Medium,Low,0,5,67,Medium,1,3,Low,Medium,Private,Positive,2,1,High School,Near,Male,59,1,,0,0.0,
166,14,81,High,Medium,0,6,61,Low,1,0,Low,Medium,Public,Positive,4,0,High School,Moderate,Male,64,1,,0,0.0,
167,20,79,Medium,Low,1,6,74,Low,1,2,Low,Medium,Public,Positive,2,0,High School,Far,Male,64,1,,0,0.0,
168,24,65,Medium,Medium,0,7,55,Low,1,1,Low,High,Private,Positive,3,1,High School,Near,Female,63,1,,0,0.0,
169,11,85,Medium,Low,1,4,92,Low,1,0,Medium,High,Public,Neutral,1,0,College,Near,Male,64,1,,0,0.0,
170,18,73,Low,Medium,1,8,88,Low,1,3,Low,Medium,Public,Positive,4,0,College,Moderate,Male,65,1,,0,0.0,
171,22,67,High,Medium,0,6,71,Low,1,2,Medium,Medium,Public,Positive,2,0,College,Moderate,Male,65,1,,0,0.0,
172,19,78,Medium,Medium,1,9,74,Low,1,2,Low,Medium,Public,Positive,5,0,High School,Moderate,Female,66,1,,0,0.0,
173,12,87,Medium,Medium,1,7,53,Low,1,2,Medium,Medium,Private,Neutral,1,0,College,Near,Male,65,1,,0,0.0,
174,20,66,Medium,Medium,1,7,94,Low,1,0,Medium,Low,Public,Neutral,4,0,High School,Moderate,Female,63,1,,0,0.0,
175,18,82,Low,Medium,0,9,73,Low,1,2,Low,Medium,Public,Positive,4,0,College,Near,Female,66,1,,0,0.0,
176,18,82,Low,Medium,1,6,67,Low,1,1,High,Low,Private,Positive,3,0,Postgraduate,Moderate,Male,66,1,,0,0.0,
177,18,71,Low,Low,1,7,61,Low,1,2,Low,Medium,Public,Negative,4,0,College,Near,Male,61,1,,0,0.0,
178,11,64,High,Medium,1,5,78,Low,1,2,Low,High,Private,Neutral,4,0,College,Moderate,Male,62,1,,0,0.0,
179,22,75,Medium,High,1,6,63,Low,1,1,Low,Medium,Public,Positive,2,0,College,Near,Male,67,1,,0,0.0,
180,17,68,Medium,Medium,1,10,57,Medium,1,1,High,Medium,Private,Positive,1,1,High School,Moderate,Female,62,1,,0,0.0,
181,11,85,Medium,Medium,0,7,79,Low,1,2,High,Low,Public,Positive,3,0,High School,Near,Male,65,1,,0,0.0,
182,7,77,High,Medium,0,9,76,Medium,1,2,Medium,High,Public,Negative,3,0,College,Moderate,Male,63,1,,0,0.0,
183,21,74,Medium,High,0,6,66,Low,1,1,Medium,High,Private,Negative,4,0,High School,Near,Male,66,1,,0,0.0,
184,14,68,Medium,Medium,1,6,52,Medium,1,2,Low,Medium,Public,Positive,2,0,College,Near,Male,62,1,,0,0.0,
185,20,72,Medium,High,1,7,56,Low,1,0,Low,Medium,Public,Negative,6,1,College,Moderate,Male,63,1,,0,0.0,
186,20,62,Medium,Medium,1,9,95,Low,1,0,Medium,Medium,Private,Neutral,3,1,High School,Near,Male,62,1,,0,0.0,
187,19,63,Medium,High,1,7,56,Medium,1,2,Low,Medium,Private,Positive,3,0,High School,Near,Female,64,1,,0,0.0,
188,17,71,Low,Medium,1,6,62,Medium,1,2,Low,Medium,Public,Neutral,3,1,College,Near,Male,62,1,,0,0.0,
189,9,80,Medium,High,0,7,91,Low,1,1,Medium,Medium,Public,Neutral,3,0,College,Near,Female,65,1,,0,0.0,
190,17,81,Medium,Low,1,5,53,Low,1,0,Medium,Medium,Public,Neutral,1,0,College,Near,Male,63,1,,0,0.0,
191,5,92,Medium,Medium,1,9,52,Medium,1,2,High,Medium,Private,Neutral,4,1,College,Moderate,Female,64,1,,0,0.0,
192,10,92,Low,High,1,6,51,Low,1,1,Medium,Medium,Private,Neutral,3,0,High School,Near,Female,65,1,,0,0.0,
193,14,62,High,Medium,0,4,100,Low,1,1,Low,Medium,Public,Neutral,3,0,High School,Near,Male,62,1,,0,0.0,
194,13,70,High,Medium,0,10,78,Medium,1,1,Low,Medium,Public,Negative,2,0,High School,Far,Female,61,1,,0,0.0,
195,21,60,High,Medium,1,9,62,Medium,1,2,Low,Medium,Public,Positive,3,0,High School,Near,Male,64,1,,0,0.0,
196,8,72,Low,Medium,1,5,72,Medium,1,3,High,Low,Private,Positive,4,0,High School,Near,Female,62,1,,0,0.0,
197,17,78,Low,Medium,1,9,76,Low,1,4,Medium,Medium,Public,Positive,2,0,College,Near,Male,66,1,,0,0.0,
198,20,69,High,Medium,0,7,63,Low,1,2,Low,Medium,Private,Negative,2,0,High School,Moderate,Female,64,1,,0,0.0,
199,22,60,Medium,Medium,0,6,92,Low,1,2,Low,High,Public,Negative,2,0,High School,Near,Male,63,1,,0,0.0,
200,25,60,Medium,Low,1,5,73,Low,1,1,Medium,Medium,Public,Negative,2,0,High School,Near,Male,62,1,,0,0.0,
201,16,72,Medium,Medium,1,6,66,Low,1,0,Low,Medium,Private,Positive,4,0,College,Near,Male,63,1,,0,0.0,
202,18,68,High,High,0,6,82,Low,1,0,Medium,High,Public,Positive,3,0,High School,Near,Male,66,1,,0,0.0,
203,23,63,Medium,Low,1,6,87,Low,1,1,Medium,Medium,Public,Neutral,2,0,Postgraduate,Near,Male,64,1,,0,0.0,
