Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,dropout,student_id
22,64,Low,Medium,0,7,98,Low,0,1,Medium,Medium,Public,Negative,3,0,High School,Near,Male,62,1,20
17,65,Medium,High,1,8,66,Medium,1,1,High,High,Public,Neutral,4,1,Postgraduate,Moderate,Female,65,1,21
8,77,High,Medium,1,6,87,Medium,1,0,Low,Medium,Public,Neutral,2,0,High School,Moderate,Male,63,1,22
12,88,Low,Medium,0,6,72,Low,1,2,Medium,Medium,Public,Positive,2,0,College,Far,Male,64,1,23
11,78,Medium,High,1,8,51,Medium,1,2,Low,Medium,Public,Neutral,3,0,Postgraduate,Near,Male,64,1,24
29,61,Medium,High,1,7,52,Low,1,3,Low,Medium,Private,Positive,3,0,College,Near,Female,67,1,25
15,78,High,High,0,9,75,Low,1,1,Low,Medium,Public,Negative,1,0,High School,Near,Male,65,1,26
10,82,Medium,Low,0,8,70,Medium,1,3,Low,High,Public,Positive,1,1,Postgraduate,Near,Female,64,1,27
13,65,Low,High,0,6,99,Medium,1,0,Low,Medium,Private,Negative,4,0,High School,Near,Male,61,1,28
23,75,Low,High,0,6,71,Low,1,0,Medium,Medium,Public,Neutral,2,0,College,Near,Male,65,1,29
13,76,Medium,High,0,5,99,Low,1,2,Medium,Medium,Private,Positive,4,0,High School,Near,Female,66,1,30
15,77,Medium,Medium,1,8,94,Low,1,0,High,High,Public,Positive,3,0,College,Moderate,Male,66,1,31
15,76,High,High,0,8,53,Medium,1,1,Low,Medium,Public,Neutral,4,0,College,Near,Male,65,1,32
14,71,Medium,Medium,1,8,85,Low,1,2,Medium,High,Public,Neutral,4,0,High School,Near,Male,64,1,33
23,71,Low,Low,1,9,75,Low,1,1,Low,Medium,Public,Negative,2,0,College,Near,Male,63,1,34
15,74,Low,High,1,4,68,Low,1,3,Low,Medium,Public,Positive,3,0,High School,Near,Female,64,1,35
11,62,Medium,High,1,5,82,Medium,1,3,High,Medium,Private,Neutral,4,0,College,Moderate,Male,64,1,36
13,69,Medium,Low,1,9,96,Low,1,0,High,Medium,Private,Neutral,4,0,High School,Far,Female,61,1,37
24,66,Medium,Low,0,9,82,Low,1,1,Medium,Medium,Public,Neutral,2,1,High School,Near,Female,62,1,38
17,86,High,Low,0,5,55,Low,0,2,High,Medium,Private,Neutral,4,0,College,Near,Male,66,1,39
10,64,Medium,High,0,7,64,High,1,0,Medium,Medium,Public,Positive,4,1,High School,Moderate,Female,60,1,40
14,64,Medium,Medium,1,6,85,Medium,1,0,Medium,Medium,Public,Neutral,3,0,High School,Near,Male,62,1,41
16,61,Medium,Medium,0,9,86,Low,1,2,Low,High,Public,Positive,2,0,High School,Near,Male,62,1,42
21,67,Medium,Medium,0,7,96,Low,1,3,Low,Medium,Public,Neutral,2,0,High School,Far,Female,64,1,43
8,71,High,Low,0,8,75,Medium,1,0,Medium,High,Public,Positive,3,0,High School,Near,Male,61,1,44
13,72,High,High,0,7,66,Medium,1,0,Low,High,Public,Neutral,4,0,Postgraduate,Near,Male,65,1,45
12,93,Medium,Medium,1,9,74,Low,1,1,Medium,Medium,Public,Neutral,3,0,Postgraduate,Moderate,Male,67,1,46
26,71,High,Medium,1,6,51,Low,0,1,High,Medium,Private,Positive,3,0,Postgraduate,Moderate,Male,67,1,47
16,64,High,Low,1,5,65,Medium,1,3,Medium,High,Private,Positive,4,0,Postgraduate,Moderate,Female,65,1,48
25,69,Medium,Medium,1,7,70,Low,0,1,High,High,Public,Positive,4,0,High School,Far,Female,65,1,49
14,68,High,Medium,0,6,65,Medium,1,1,High,Medium,Public,Neutral,3,1,College,Near,Male,63,1,50
1,69,High,Medium,1,6,97,Medium,1,1,Low,Medium,Public,Positive,3,0,High School,Near,Female,61,1,51
11,68,Medium,Medium,0,6,80,Medium,1,2,Medium,Medium,Public,Positive,3,0,College,Moderate,Female,63,1,52
17,66,Low,High,0,6,61,Medium,1,1,High,Medium,Public,Positive,6,0,Postgraduate,Near,Male,65,1,53
20,70,Medium,Medium,1,7,84,Low,0,2,Medium,High,Private,Neutral,4,0,College,Far,Male,65,1,54
24,65,Medium,Low,0,7,64,Low,1,1,High,Medium,Public,Neutral,1,0,Postgraduate,Near,Male,64,1,55
13,69,Medium,Low,1,5,68,Low,1,0,High,Medium,Public,Positive,1,1,High School,Moderate,Female,59,1,56
8,73,Medium,Medium,0,7,60,Medium,0,0,High,Medium,Private,Neutral,3,0,High School,Near,Female,60,1,57
19,66,Medium,High,0,7,59,Medium,1,1,High,Medium,Public,Negative,3,0,High School,Far,Male,62,1,58
22,73,Low,Medium,1,9,72,Low,1,3,Medium,Medium,Public,Positive,3,0,High School,Near,Female,66,1,59
16,83,Medium,High,1,7,56,Low,1,4,High,Medium,Public,Positive,3,0,High School,Near,Female,68,1,60
20,81,Medium,Medium,1,5,60,Low,1,3,Medium,Medium,Public,Positive,4,1,High School,Near,Male,66,1,61
18,80,Medium,Medium,0,8,55,Low,1,2,Low,Low,Public,Neutral,3,0,High School,Moderate,Male,63,1,62
20,69,Medium,High,0,6,63,Low,1,0,Low,Medium,Public,Negative,3,0,Postgraduate,Near,Male,64,1,63
16,76,Low,High,1,8,56,Medium,0,1,Low,Medium,Public,Positive,1,0,High School,Near,Male,62,1,64
15,76,Medium,Medium,1,6,84,Low,1,0,Medium,High,Public,Neutral,3,0,College,Near,Female,65,1,65
18,69,High,High,0,7,62,Low,1,3,Medium,Medium,Public,Positive,3,0,High School,Moderate,Male,65,1,66
17,71,High,Medium,1,9,83,Low,1,2,Medium,Medium,Public,Neutral,5,0,High School,Near,Male,66,1,67
15,67,Medium,Medium,0,4,74,Medium,1,0,Low,Medium,Public,Negative,3,0,College,Moderate,Male,61,1,68
11,76,Medium,Medium,1,7,71,Medium,0,1,Medium,Low,Public,Neutral,2,0,College,Near,Male,62,1,69
12,63,Medium,High,1,5,69,Low,1,0,Medium,High,Public,Negative,2,0,College,Moderate,Female,60,1,70
16,64,Low,Medium,1,9,58,Low,1,1,Medium,Medium,Public,Positive,3,0,College,Moderate,Female,61,1,71
19,62,Medium,Medium,0,5,90,Low,1,2,Low,High,Public,Positive,3,0,College,Moderate,Male,64,1,72
19,70,Medium,Medium,0,7,63,Low,0,3,Low,Low,Public,Neutral,5,0,High School,Near,Male,63,1,73
22,67,Low,Medium,0,7,86,Low,1,1,Low,Medium,Public,Positive,3,0,High School,Moderate,Female,63,1,74
21,68,Medium,Low,0,8,100,Low,1,0,Medium,Medium,Public,Positive,4,0,High School,Far,Male,63,1,75
15,67,High,Medium,1,8,89,Low,1,0,High,High,Public,Neutral,4,0,High School,Moderate,Female,64,1,76
15,70,High,Medium,0,9,57,Medium,1,1,Medium,Medium,Private,Negative,3,0,High School,Near,Female,63,1,77
16,71,Medium,Medium,0,8,51,Medium,1,0,Low,Medium,Public,Negative,2,0,Postgraduate,Far,Female,61,1,78
7,82,High,High,1,8,56,Medium,1,0,Low,Medium,Private,Negative,2,0,High School,Far,Male,62,1,79
15,66,Low,High,0,6,80,Medium,0,1,Low,Medium,Private,Neutral,1,0,College,Near,Male,61,1,80
17,79,Medium,Low,1,6,75,Low,1,1,Medium,High,Public,Neutral,4,0,High School,Near,Male,65,1,81
16,62,Medium,Medium,1,7,79,Low,1,2,Medium,Medium,Public,Neutral,3,0,High School,Near,Male,63,1,82
14,65,High,Medium,0,5,59,Low,1,1,High,Medium,Public,Positive,4,0,Postgraduate,Far,Male,63,1,83
21,65,High,High,0,7,88,Low,1,2,Low,Medium,Private,Neutral,1,0,High School,Near,Male,65,1,84
27,62,Medium,High,1,5,63,Low,1,4,High,Medium,Public,Negative,4,0,High School,Near,Female,67,1,85
20,65,Medium,Low,0,6,74,Low,1,0,Medium,Medium,Private,Positive,3,0,College,Moderate,Male,62,1,86
9,74,Medium,High,0,7,66,Low,1,1,High,High,Private,Neutral,3,0,High School,Far,Female,62,1,87
13,63,High,Medium,1,5,65,Medium,1,2,High,Medium,Private,Neutral,2,0,High School,Far,Male,62,1,88
12,73,High,Medium,0,5,60,Medium,1,1,Low,Medium,Public,Negative,4,0,High School,Moderate,Male,62,1,89
10,76,Low,Medium,1,8,76,Medium,1,2,High,High,Private,Positive,3,1,Postgraduate,Moderate,Male,64,1,90
22,74,Medium,Low,1,6,56,Low,1,4,Medium,High,Public,Negative,3,0,Postgraduate,Moderate,Male,66,1,91
8,89,Medium,High,1,7,81,Low,1,4,Low,Medium,Public,Neutral,3,0,College,Near,Male,67,1,92
14,62,High,High,1,8,65,Low,1,3,Low,Medium,Public,Negative,2,0,High School,Far,Male,61,1,93
14,70,High,Medium,1,9,54,Medium,0,3,Medium,Medium,Public,Positive,1,0,College,Near,Male,64,1,94
13,62,Low,High,0,7,99,Medium,1,4,Medium,Low,Public,Positive,1,0,Postgraduate,Moderate,Female,63,1,95
14,65,Low,Medium,1,7,81,Medium,1,1,Low,Medium,Public,Positive,3,0,High School,Moderate,Female,61,1,96
21,60,Medium,High,1,8,93,Low,1,0,Low,Medium,Public,Positive,2,0,High School,Far,Female,63,1,97
11,65,Medium,High,0,7,78,Medium,1,2,Low,Medium,Public,Neutral,3,0,Postgraduate,Near,Female,63,1,98
15,73,Medium,Low,1,7,51,Medium,1,2,Low,High,Private,Negative,3,0,High School,Moderate,Male,61,1,99
15,72,High,High,0,8,50,Medium,1,2,Medium,Medium,Public,Neutral,4,0,High School,Near,Female,65,1,100
16,60,Low,Medium,1,8,66,Low,1,1,High,High,Private,Neutral,2,1,High School,Moderate,Female,59,1,101
17,66,High,High,0,5,64,Low,1,0,Medium,High,Private,Neutral,2,0,College,Near,Male,64,1,102
16,73,High,Medium,1,8,52,Medium,1,2,Medium,High,Public,Positive,4,0,College,Near,Female,66,1,103
20,63,Low,Low,1,8,73,Low,1,0,High,Medium,Public,Neutral,3,0,College,Near,Female,61,1,104
22,75,Medium,Medium,0,6,56,Low,1,3,Medium,Medium,Private,Positive,3,0,High School,Far,Male,65,1,105
10,89,Low,Low,1,8,69,Low,1,3,Low,Medium,Public,Negative,4,0,College,Moderate,Male,63,1,106
15,63,Medium,Low,0,8,55,Low,1,0,Medium,Low,Public,Neutral,3,0,College,Near,Female,59,1,107
10,62,Medium,Low,0,7,68,High,1,3,Medium,Medium,Public,Neutral,3,0,Postgraduate,Near,Male,61,1,108
15,84,Medium,High,0,6,55,Low,1,1,Medium,Medium,Private,Negative,2,0,High School,Near,Male,64,1,109
18,67,Low,Low,1,9,68,Low,1,2,Low,High,Private,Negative,2,0,Postgraduate,Near,Male,61,1,110
26,65,Low,Medium,0,7,53,Low,1,3,High,Medium,Public,Positive,2,0,High School,Near,Female,64,1,111
16,73,High,Low,1,8,58,Medium,1,1,Medium,Medium,Public,Neutral,4,0,High School,Near,Female,64,1,112
19,76,High,High,1,8,66,Low,1,0,Low,High,Private,Negative,4,1,High School,Near,Male,65,1,113
17,83,High,Medium,0,7,70,Low,1,3,Low,Medium,Private,Neutral,5,0,Postgraduate,Near,Female,68,1,114
19,60,Medium,High,0,10,51,Medium,1,0,Medium,Medium,Public,Positive,3,1,College,Near,Female,62,1,115
27,63,Medium,High,0,6,51,Low,1,0,Low,Medium,Public,Positive,2,0,Postgraduate,Moderate,Male,64,1,116
22,65,Medium,Medium,1,7,95,Low,1,3,Low,Medium,Public,Positive,2,0,High School,Moderate,Female,65,1,117
15,73,Medium,High,0,7,96,Low,1,1,Low,Medium,Public,Negative,2,0,College,Near,Male,64,1,118
17,86,High,Medium,1,7,59,Low,1,3,Low,Medium,Public,Positive,3,0,Postgraduate,Moderate,Male,68,1,119
25,70,Low,Medium,1,8,61,Low,0,3,Low,Medium,Public,Positive,4,0,College,Moderate,Female,64,1,120
22,72,High,Medium,1,9,64,Low,1,1,Medium,Medium,Public,Negative,2,0,College,Near,Female,66,1,121
9,64,Medium,Medium,0,5,73,Medium,1,1,Medium,Medium,Public,Positive,4,0,College,Near,Male,61,1,122
20,81,Medium,Low,1,6,53,Low,1,0,Medium,Low,Public,Neutral,4,0,High School,Far,Female,63,1,123
13,77,Medium,Medium,1,10,62,Medium,1,1,High,Medium,Private,Neutral,4,0,College,Moderate,Male,65,1,124
21,74,Medium,Low,1,7,52,Low,1,1,High,Medium,Public,Negative,4,0,High School,Far,Male,62,1,125
21,72,High,Medium,0,7,60,Low,1,0,Low,Medium,Private,Neutral,4,0,Postgraduate,Near,Male,65,1,126
15,71,Medium,High,0,8,50,Low,1,1,Medium,Medium,Public,Neutral,2,1,Postgraduate,Near,Female,62,1,127
14,64,High,High,1,6,90,Low,1,0,Low,High,Private,Negative,2,0,High School,Near,Female,63,1,128
19,79,High,Medium,1,10,59,Low,1,1,Medium,Medium,Public,Neutral,3,1,College,Moderate,Male,65,1,129
17,72,Medium,High,1,7,74,Low,1,2,High,Medium,Public,Positive,4,0,Postgraduate,Far,Male,67,1,130
14,81,Medium,Medium,1,7,73,Low,0,1,High,Medium,Private,Positive,3,1,High School,Moderate,Male,63,1,131
12,77,Medium,Medium,1,8,57,Medium,1,2,Low,High,Public,Negative,2,0,College,Moderate,Male,63,1,132
18,75,Medium,Medium,1,6,88,Low,1,2,Medium,High,Public,Negative,1,1,Postgraduate,Near,Female,66,1,133
11,93,Medium,Medium,1,6,72,Low,1,2,Low,Medium,Public,Negative,3,0,College,Moderate,Male,66,1,134
4,64,Medium,High,1,7,65,Medium,1,1,Medium,High,Public,Negative,4,0,High School,Far,Male,59,1,135
24,68,Medium,Medium,1,10,73,Low,1,1,Medium,Medium,Public,Neutral,4,1,High School,Moderate,Female,64,1,136
13,70,Medium,Medium,0,8,56,Medium,1,2,Medium,High,Public,Neutral,0,0,High School,Near,Male,62,1,137
20,61,Medium,Low,1,7,70,Low,1,1,Medium,Medium,Private,Positive,4,0,High School,Moderate,Female,62,1,138
19,81,High,High,0,8,61,Low,1,3,Medium,Medium,Private,Negative,5,0,Postgraduate,Near,Male,69,1,139
4,69,Medium,Low,0,9,93,Low,0,2,Medium,High,Private,Negative,3,0,High School,Moderate,Female,58,1,140
15,79,High,Medium,0,8,62,Low,1,1,Low,Low,Public,Positive,3,0,College,Near,Male,65,1,141
13,70,Medium,Medium,0,5,59,Medium,1,0,Medium,High,Private,Positive,2,0,Postgraduate,Near,Female,63,1,142
17,77,Medium,Medium,1,6,54,Low,1,3,Low,Medium,Public,Neutral,4,0,High School,Moderate,Male,64,1,143
14,73,Medium,Low,1,5,96,Low,1,1,Low,Medium,Public,Negative,3,0,High School,Moderate,Female,62,1,144
17,77,Low,Medium,0,9,67,Low,1,0,Low,High,Public,Neutral,5,1,High School,Near,Female,62,1,145
12,72,Medium,Medium,0,8,67,Low,1,4,Medium,Medium,Public,Neutral,4,0,High School,Near,Male,63,1,146
18,69,Low,Medium,0,8,59,Low,0,1,Low,Medium,Public,Positive,4,0,High School,Near,Female,60,1,147
10,81,Medium,Low,1,7,85,Low,1,1,Low,Medium,Public,Neutral,2,0,College,Near,Male,63,1,148
9,70,Medium,Medium,0,9,78,Low,1,1,Medium,Low,Public,Neutral,2,0,High School,Near,Female,60,1,149
12,90,Medium,High,0,6,61,Low,1,2,Medium,High,Public,Neutral,3,0,College,Near,Male,67,1,150
16,82,High,High,1,6,75,Low,1,3,Medium,Medium,Public,Neutral,3,0,College,Moderate,Female,68,1,151
14,76,High,Medium,1,8,59,Low,1,3,Medium,Medium,Private,Neutral,5,0,High School,Moderate,Male,65,1,152
12,68,High,High,1,7,75,Medium,1,1,Medium,Low,Private,Positive,4,0,High School,Near,Male,64,1,153
14,89,Medium,Low,1,5,67,Low,0,3,Low,Low,Private,Neutral,3,0,High School,Far,Female,63,1,154
16,65,Low,High,0,9,96,Low,1,2,Low,Medium,Public,Negative,2,0,High School,Near,Male,62,1,155
21,71,High,Medium,1,8,57,Low,0,2,High,Medium,Public,Positive,1,0,Postgraduate,Near,Female,66,1,156
22,61,Low,Low,1,6,82,Low,1,4,Medium,Medium,Public,Positive,4,0,High School,Moderate,Female,64,1,157
24,63,High,Medium,0,8,59,Low,1,1,Low,Medium,Public,Neutral,3,1,High School,Near,Male,62,1,158
10,60,Medium,Medium,0,9,85,Medium,1,0,Medium,High,Public,Positive,4,0,Postgraduate,Near,Male,62,1,159
22,65,Low,Medium,0,7,97,Low,1,2,Medium,High,Private,Neutral,4,0,High School,Moderate,Female,64,1,160
17,61,Low,Low,1,6,58,Medium,1,1,Medium,High,Public,Neutral,4,0,High School,Near,Male,60,1,161
18,64,Medium,Low,1,10,68,Low,1,1,Low,Medium,Public,Positive,5,0,High School,Near,Male,62,1,162
21,79,High,Medium,0,4,64,Low,1,0,Low,High,Public,Negative,4,0,College,Moderate,Male,66,1,163
11,63,High,Medium,1,9,56,High,1,2,Medium,Medium,Public,Neutral,3,0,High School,Near,Female,62,1,164
12,64,Medium,Low,0,5,67,Medium,1,3,Low,Medium,Private,Positive,2,1,High School,Near,Male,59,1,165
14,81,High,Medium,0,6,61,Low,1,0,Low,Medium,Public,Positive,4,0,High School,Moderate,Male,64,1,166
20,79,Medium,Low,1,6,74,Low,1,2,Low,Medium,Public,Positive,2,0,High School,Far,Male,64,1,167
24,65,Medium,Medium,0,7,55,Low,1,1,Low,High,Private,Positive,3,1,High School,Near,Female,63,1,168
11,85,Medium,Low,1,4,92,Low,1,0,Medium,High,Public,Neutral,1,0,College,Near,Male,64,1,169
18,73,Low,Medium,1,8,88,Low,1,3,Low,Medium,Public,Positive,4,0,College,Moderate,Male,65,1,170
22,67,High,Medium,0,6,71,Low,1,2,Medium,Medium,Public,Positive,2,0,College,Moderate,Male,65,1,171
19,78,Medium,Medium,1,9,74,Low,1,2,Low,Medium,Public,Positive,5,0,High School,Moderate,Female,66,1,172
12,87,Medium,Medium,1,7,53,Low,1,2,Medium,Medium,Private,Neutral,1,0,College,Near,Male,65,1,173
20,66,Medium,Medium,1,7,94,Low,1,0,Medium,Low,Public,Neutral,4,0,High School,Moderate,Female,63,1,174
18,82,Low,Medium,0,9,73,Low,1,2,Low,Medium,Public,Positive,4,0,College,Near,Female,66,1,175
18,82,Low,Medium,1,6,67,Low,1,1,High,Low,Private,Positive,3,0,Postgraduate,Moderate,Male,66,1,176
18,71,Low,Low,1,7,61,Low,1,2,Low,Medium,Public,Negative,4,0,College,Near,Male,61,1,177
11,64,High,Medium,1,5,78,Low,1,2,Low,High,Private,Neutral,4,0,College,Moderate,Male,62,1,178
22,75,Medium,High,1,6,63,Low,1,1,Low,Medium,Public,Positive,2,0,College,Near,Male,67,1,179
17,68,Medium,Medium,1,10,57,Medium,1,1,High,Medium,Private,Positive,1,1,High School,Moderate,Female,62,1,180
11,85,Medium,Medium,0,7,79,Low,1,2,High,Low,Public,Positive,3,0,High School,Near,Male,65,1,181
7,77,High,Medium,0,9,76,Medium,1,2,Medium,High,Public,Negative,3,0,College,Moderate,Male,63,1,182
21,74,Medium,High,0,6,66,Low,1,1,Medium,High,Private,Negative,4,0,High School,Near,Male,66,1,183
14,68,Medium,Medium,1,6,52,Medium,1,2,Low,Medium,Public,Positive,2,0,College,Near,Male,62,1,184
20,72,Medium,High,1,7,56,Low,1,0,Low,Medium,Public,Negative,6,1,College,Moderate,Male,63,1,185
20,62,Medium,Medium,1,9,95,Low,1,0,Medium,Medium,Private,Neutral,3,1,High School,Near,Male,62,1,186
19,63,Medium,High,1,7,56,Medium,1,2,Low,Medium,Private,Positive,3,0,High School,Near,Female,64,1,187
17,71,Low,Medium,1,6,62,Medium,1,2,Low,Medium,Public,Neutral,3,1,College,Near,Male,62,1,188
9,80,Medium,High,0,7,91,Low,1,1,Medium,Medium,Public,Neutral,3,0,College,Near,Female,65,1,189
17,81,Medium,Low,1,5,53,Low,1,0,Medium,Medium,Public,Neutral,1,0,College,Near,Male,63,1,190
5,92,Medium,Medium,1,9,52,Medium,1,2,High,Medium,Private,Neutral,4,1,College,Moderate,Female,64,1,191
10,92,Low,High,1,6,51,Low,1,1,Medium,Medium,Private,Neutral,3,0,High School,Near,Female,65,1,192
14,62,High,Medium,0,4,100,Low,1,1,Low,Medium,Public,Neutral,3,0,High School,Near,Male,62,1,193
13,70,High,Medium,0,10,78,Medium,1,1,Low,Medium,Public,Negative,2,0,High School,Far,Female,61,1,194
21,60,High,Medium,1,9,62,Medium,1,2,Low,Medium,Public,Positive,3,0,High School,Near,Male,64,1,195
8,72,Low,Medium,1,5,72,Medium,1,3,High,Low,Private,Positive,4,0,High School,Near,Female,62,1,196
17,78,Low,Medium,1,9,76,Low,1,4,Medium,Medium,Public,Positive,2,0,College,Near,Male,66,1,197
20,69,High,Medium,0,7,63,Low,1,2,Low,Medium,Private,Negative,2,0,High School,Moderate,Female,64,1,198
22,60,Medium,Medium,0,6,92,Low,1,2,Low,High,Public,Negative,2,0,High School,Near,Male,63,1,199
25,60,Medium,Low,1,5,73,Low,1,1,Medium,Medium,Public,Negative,2,0,High School,Near,Male,62,1,200
16,72,Medium,Medium,1,6,66,Low,1,0,Low,Medium,Private,Positive,4,0,College,Near,Male,63,1,201
18,68,High,High,0,6,82,Low,1,0,Medium,High,Public,Positive,3,0,High School,Near,Male,66,1,202
23,63,Medium,Low,1,6,87,Low,1,1,Medium,Medium,Public,Neutral,2,0,Postgraduate,Near,Male,64,1,203
21,71,Medium,Medium,1,10,55,Low,1,1,Medium,Medium,Public,Negative,4,0,High School,Moderate,Female,63,1,204
14,81,Medium,High,1,6,64,Low,0,2,High,High,Public,Neutral,2,0,High School,Far,Female,64,1,205
10,82,High,Medium,0,7,82,Low,1,2,Low,High,Private,Neutral,4,0,High School,Near,Male,65,1,206
13,71,Medium,High,0,7,86,Low,1,2,Low,Medium,Public,Positive,3,0,Postgraduate,Near,Male,65,1,207
17,68,Low,High,0,8,53,Medium,1,0,Low,Medium,Public,Neutral,2,0,College,Near,Male,61,1,208
20,72,High,Low,0,8,60,Low,1,0,Low,Medium,Public,Neutral,5,0,High School,Near,Male,63,1,209
11,69,Medium,Medium,0,5,93,Medium,1,0,Medium,High,Public,Negative,4,0,College,Near,Male,63,1,210
3,85,Low,High,0,8,73,Low,1,2,Low,Medium,Private,Neutral,3,0,High School,Near,Male,62,1,211
10,68,Low,Medium,0,6,96,Low,1,1,High,Medium,Public,Neutral,3,0,College,Moderate,Male,61,1,212
11,97,Medium,Medium,1,7,68,Low,1,0,Low,Medium,Private,Negative,2,0,High School,Moderate,Female,64,1,213
18,79,Medium,Medium,1,5,77,Low,1,1,Low,High,Public,Neutral,3,0,High School,Near,Male,65,1,214
20,72,Medium,High,0,7,84,Low,1,2,Medium,High,Public,Negative,2,0,High School,Moderate,Female,65,1,215
8,67,High,Medium,1,8,58,Low,1,2,Medium,Medium,Public,Positive,1,0,Postgraduate,Moderate,Female,61,1,216
25,64,Medium,Low,1,6,82,Low,1,2,Low,Medium,Public,Negative,3,0,High School,Moderate,Female,63,1,217
3,62,Medium,Low,0,6,67,Medium,1,1,Low,Medium,Public,Negative,3,0,High School,Near,Male,55,1,218
21,75,Medium,Medium,1,7,70,Low,1,3,Medium,Medium,Public,Positive,4,1,Postgraduate,Near,Male,67,1,219
21,72,Medium,High,0,7,78,Low,0,0,High,Medium,Public,Neutral,1,1,High School,Near,Female,63,1,220
13,88,High,Low,1,9,61,Low,1,4,Medium,Medium,Private,Negative,3,0,High School,Near,Female,66,1,221
13,68,Low,Medium,1,6,79,Medium,1,1,High,Medium,Private,Negative,3,0,College,Near,Male,62,1,222
20,81,High,High,1,7,56,Low,0,1,Medium,Medium,Private,Positive,3,0,High School,Near,Male,67,1,223
19,63,Low,High,1,7,58,Medium,1,2,Low,High,Private,Neutral,3,0,Postgraduate,Near,Female,64,1,224
13,64,Medium,Low,1,6,77,Medium,1,0,Low,High,Public,Neutral,4,0,High School,Near,Male,60,1,225
18,63,High,High,0,9,55,Medium,1,2,High,High,Private,Positive,2,0,Postgraduate,Near,Female,66,1,226
20,78,Medium,Medium,0,5,73,Low,1,1,Low,Medium,Public,Negative,3,0,College,Near,Female,65,1,227
14,67,Medium,High,0,7,82,Low,1,1,Medium,Medium,Public,Neutral,3,0,High School,Far,Female,62,1,228
12,79,Low,High,0,6,55,Medium,1,1,Low,High,Private,Neutral,4,0,College,Far,Female,62,1,229
26,64,Low,High,0,6,62,Low,1,1,Low,Medium,Private,Positive,5,0,High School,Moderate,Male,64,1,230
16,66,Medium,Low,0,6,63,Low,1,2,Medium,High,Public,Neutral,3,0,College,Moderate,Male,61,1,231
5,65,Medium,High,1,7,98,Low,1,1,Low,Low,Private,Positive,3,0,High School,Far,Male,59,1,232
10,85,Medium,Medium,1,6,64,Low,1,1,Medium,Medium,Public,Negative,3,0,College,Near,Male,64,1,233
10,85,High,Medium,1,8,64,Low,1,2,High,Medium,Public,Neutral,3,0,Postgraduate,Near,Female,67,1,234
14,75,Medium,Low,1,8,62,Low,1,0,High,Medium,Public,Negative,2,0,High School,Moderate,Female,61,1,235
